PUBLIC	STATE	NAME	PROVIDER_NO	STREET_ADDRESS	SUBURB	POSTCODE																																												
PUBLIC	VIC	NUMURKAH DISTRICT HEALTH SERVICE	0030830A	2 KATAMATITE ROAD	NUMURKAH	3636																																												
PUBLIC	NSW	NYNGAN MULTI PURPOSE SERVICE	0011900F	HOSPITAL ROAD	NYNGAN	2825																																												
PUBLIC	QLD	OAKEY HOSPITAL	0051050K	5 BEALE STREET	OAKEY	4401																																												
PUBLIC	NSW	OBERON MULTI PURPOSE SERVICE	0011910B	67-73 NORTH STREET	OBERON	2787																																												
PUBLIC	VIC	OMEO DISTRICT HEALTH	0030850X	12 EASTON STREET	OMEO	3898																																												
PUBLIC	WA	ONSLOW HEALTH SERVICE	0070650H	SECOND AVENUE	ONSLOW	6710																																												
PRIVATE	NSW	ORANGE EYE CENTRE	0657451H	267-277 LORDS PLACE	ORANGE	2800																																												
PUBLIC	NSW	ORANGE HEALTH SERVICE	0011920A	1530 FOREST ROAD	ORANGE	2800																																												
PUBLIC	VIC	ORBOST REGIONAL HEALTH	0030860W	104 BOUNDARY ROAD	ORBOST	3888																																												
PRIVATE	SA	OROMAX DAY SURGERY	0067140K	"LEVEL 2, 66 RUNDLE STREET"	KENT TOWN	5067																																												
PUBLIC	SA	ORROROO CAMPUS	0060410W	PEKINA ROAD	ORROROO	5431																																												
PUBLIC	WA	OSBORNE PARK HOSPITAL	0071030F	OSBORNE PLACE	STIRLING	6021																																												
PRIVATE	WA	OXFORD DAY SURGERY	0077110A	"SUITE 4, 1st FLOOR 416-418 OXFORD STREET"	MOUNT HAWTHORN	6016																																												
PRIVATE	QLD	PACIFIC DAY SURGERY CENTRE	0057070B	38 MISTERTON STREET	FORTITUDE VALLEY	4006																																												
PRIVATE	QLD	PACIFIC PRIVATE HOSPITAL	0055980B	119-123 NERANG STREET	SOUTHPORT	4215																																												
PUBLIC	VIC	PAKENHAM HEALTH CENTRE	0032160H	HENTY WAY	PAKENHAM	3810																																												
PUBLIC	NT	PALMERSTON REGIONAL HOSPITAL	0092000T	LINCO ROAD	HOLTZE	0829																																												
PUBLIC	NSW	PAMBULA DISTRICT HOSPITAL	0011930Y	MERIMBOLA STREET	PAMBULA	2549																																												
PRIVATE	VIC	PANCH DAY SURGERY CENTRE	0044100J	"LEVEL 4, 84 HOTHAM STREET"	PRESTON	3073																																												
PUBLIC	VIC	PANCH HEALTH SERVICE	0032100X	300 BELL STREET	PRESTON	3072																																												
PUBLIC	WA	PARABURDOO HOSPITAL	0071240W	LOT 608 ROCKLEA ROAD	PARABURDOO	6754																																												
PRIVATE	VIC	PARAS CLINIC 	0044220A	"SUITE 10, 45 COLLINS STREET"	MELBOURNE	3000																																												
PUBLIC	NSW	PARKES DISTRICT HOSPITAL	0011940X	18 COLEMAN ROAD	PARKES	2870																																												
PRIVATE	SA	PARKVIEW DAY SURGERY	0067000A	215 GREENHILL ROAD	EASTWOOD	5063																																												
PUBLIC	VIC	PARKVILLE YOUTH MENTAL HEALTH AND WELLBEING SERVICE	0032240H	35 POPLAR ROAD	PARKVILLE	3052																																												
PRIVATE	NSW	PARRAMATTA EYE CENTRE	0027430Y	"SUITE 19, 34 CHARLES STREET"	PARRAMATTA	2150																																												
PRIVATE	VIC	PASO INFUSION CENTRE	0044300A	5 SUSONO WAY 	FRANKSTON	3199																																												
PRIVATE	SA	PAYNEHAM DIALYSIS CLINIC	0067040T	2 PORTRUSH ROAD	PAYNEHAM	5070																																												
PUBLIC	NSW	PEAK HILL HEALTH SERVICE	0011950W	111 NEWELL HIGHWAY	PEAK HILL	2869																																												
PRIVATE	WA	PEEL HEALTH CAMPUS - PRIVATE	0075560L	110 LAKES ROAD	MANDURAH	6210																																												
PUBLIC	WA	PEEL HEALTH CAMPUS - PUBLIC	0070100T	110 LAKES ROAD	MANDURAH	6210																																												
PUBLIC	WA	PEMBERTON HOSPITAL	0070660F	RAILWAY CRESENT	PEMBERTON	6260																																												
PRIVATE	QLD	PENINSULA PRIVATE HOSPITAL (QLD)	0055790J	CNR GEORGE AND FLORENCE STREETS	KIPPA-RING	4021																																												
PRIVATE	VIC	PENINSULA PRIVATE HOSPITAL (VIC)	0036510L	525 MCCLELLAND DRIVE	FRANKSTON	3199																																												
PRIVATE	NSW	PENINSULA SLEEP CLINIC	0017230A	"LEVEL 2, BUILDING 1, 49 FRENCHS FOREST ROAD"	FRENCHS FOREST	2086																																												
PRIVATE	NSW	PENNANT HILLS DAY SURGERY	0657211A	361 - 363 PENNANT HILLS ROAD	PENNANT HILLS	2120																																												
PUBLIC	SA	PENOLA WAR MEMORIAL HOSPITAL	0060420T	18 CHURCH STREET	PENOLA	5277																																												
PUBLIC	WA	PERTH CHILDREN’S HOSPITAL 	0071620F	15 HOSPITAL AVENUE	NEDLANDS	6009																																												
PRIVATE	WA	PERTH CLINIC	0075550T	29 HAVELOCK STREET	WEST PERTH	6005																																												
PRIVATE	WA	PERTH DAY SURGERY CENTRE	0077060W	166-168 CAMBRIDGE STREET	LEEDERVILLE	6007																																												
PRIVATE	WA	PERTH DERMATOLOGY CLINIC	0077180J	5-7 ROBINSON AVENUE	PERTH	6000																																												
PRIVATE	WA	PERTH EYE HOSPITAL	0656511X	42 ORD STREET	WEST PERTH	6005																																												
PUBLIC	VIC	PETER JAMES CENTRE	0031750T	321-345 BURWOOD HIGHWAY	FOREST HILL	3131																																												
PUBLIC	VIC	PETER MACCALLUM CANCER CENTRE	0030190W	2 ST ANDREWS PLACE	EAST MELBOURNE	3002																																												
PUBLIC	SA	PETERBOROUGH CAMPUS	0060430L	23 HURLSTONE STREET	PETERBOROUGH	5422																																												
PRIVATE	QLD	PINDARA DAY PROCEDURE CENTRE	0925491K	13 CARRARA STREET	BENOWA	4217																																												
PRIVATE	QLD	PINDARA PRIVATE HOSPITAL	0055600J	ALLCHURCH AVENUE	BENOWA	4217																																												
PRIVATE	QLD	PINE RIVERS PRIVATE HOSPITAL	0055830W	34 DIXON STREET	STRATHPINE	4500																																												
PUBLIC	WA	PINGELLY HEALTH CENTRE	0070680A	32 BROWN STREET	PINGELLY	6308																																												
PUBLIC	SA	PINNAROO SOLDIERS' MEMORIAL HOSPITAL	0060440K	BUNDEY TERRACE	PINNAROO	5304																																												
PRIVATE	NSW	PITTWATER DAY SURGERY	0027020W	202/20 BUNGAN STREET	MONA VALE	2103																																												
PUBLIC	WA	PLANTAGENET HOSPITAL	0070550K	LANGTON ROAD	MOUNT BARKER	6324																																												
PUBLIC	SA	PORT AUGUSTA HOSPITAL	0060450J	71 HOSPITAL ROAD	PORT AUGUSTA	5700																																												
PUBLIC	SA	PORT BROUGHTON DISTRICT HOSPITAL AND HEALTH SERVICES	0060720B	BAY STREET	PORT BROUGHTON	5522																																												
PUBLIC	NSW	PORT KEMBLA HOSPITAL	0012480A	89-91 COWPER STREET	WARRAWONG	2502																																												
PUBLIC	SA	PORT LINCOLN HEALTH SERVICES	0060460H	39 OXFORD TERRACE	PORT LINCOLN	5606																																												
PUBLIC	NSW	PORT MACQUARIE BASE HOSPITAL	0017070A	1-31 WRIGHTS ROAD	PORT MACQUARIE	2444																																												
PRIVATE	NSW	PORT MACQUARIE OPHTHALMIC SURGERY	0027400F	35 ACKROYD STREET	PORT MACQUARIE	2444																																												
PRIVATE	NSW	PORT MACQUARIE PRIVATE HOSPITAL	0016940A	LAKE ROAD	PORT MACQUARIE	2444																																												
PUBLIC	SA	PORT PIRIE HOSPITAL	0060470F	ALEXANDER STREET	PORT PIRIE	5540																																												
PUBLIC	VIC	PORTLAND DISTRICT HEALTH	0030910A	141-151 BENTINCK STREET	PORTLAND	3305																																												
PUBLIC	NSW	PORTLAND TABULAM HEALTH CENTRE	0011960T	29 GREEN STREET	PORTLAND	2847																																												
PRIVATE	VIC	PRECISION ASCEND REHABILITATION CENTRE	0044140A	73 KOOYONG ROAD	CAULFIELD SOUTH	3161																																												
PRIVATE	NSW	PRESIDENT PRIVATE HOSPITAL	0016840F	369-381 PRESIDENT AVENUE	KIRRAWEE	2232																																												
PUBLIC	NSW	PRINCE ALBERT TENTERFIELD	0011970L	1-5 NAAS ST	TENTERFIELD	2372																																												
PUBLIC	NSW	PRINCE OF WALES HOSPITAL	0010260H	320-346 BARKER STREET	RANDWICK	2031																																												
PRIVATE	NSW	PRINCE OF WALES PRIVATE HOSPITAL	0017170X	"LEVELS 5-7, AMBULATORY CARE SERVICES CENTRE BUILDING, PRINCE OF WALES CAMPUS, BARKER STREET"	RANDWICK	2031																																												
PUBLIC	QLD	PRINCESS ALEXANDRA HOSPITAL	0051080F	199 IPSWICH ROAD	WOOLLOONGABBA	4102																																												
PUBLIC	QLD	PROSERPINE HOSPITAL	0051090B	26-32 TAYLOR STREET	PROSERPINE	4800																																												
PUBLIC	WA	QUAIRADING HOSPITAL	0070700L	HARRIS STREET	QUAIRADING	6383																																												
PUBLIC	NSW	QUEANBEYAN DISTRICT HOSPITAL	0011980K	12 ERIN STREET	QUEANBEYAN	2620																																												
PUBLIC	ACT	QUEEN ELIZABETH II FAMILY CENTRE	0090020F	129 CARRUTHERS STREET	CURTIN	2605																																												
PUBLIC	QLD	QUEEN ELIZABETH II JUBILEE HOSPITAL	0051630L	CNR KESSELS & TROUGHON ROADS	COOPERS PLAINS	4108																																												
PUBLIC	QLD	QUEENSLAND CHILDREN'S HOSPITAL 	0056130T	501 STANLEY STREET	SOUTH BRISBANE	4101																																												
PRIVATE	QLD	QUEENSLAND DAY HOSPITAL	0057570F	11 HAYLING STREET	SALISBURY	4107																																												
PUBLIC	QLD	QUILPIE HOSPITAL	0051100W	30 GYRICA STREET	QUILPIE	4480																																												
PUBLIC	NSW	QUIRINDI COMMUNITY HOSPITAL	0011990J	NOWLAND STREET	QUIRINDI	2343																																												
PUBLIC	SA	QUORN HEALTH SERVICES	0060480B	HOSPITAL ROAD	QUORN	5433																																												
PRIVATE	SA	RAMSAY CLINIC ADELAIDE	0065030K	33 PARK TERRACE	GILBERTON	5081																																												
PRIVATE	VIC	RAMSAY CLINIC ALBERT ROAD	0036710F	31 ALBERT ROAD	MELBOURNE	3004																																												
PRIVATE	QLD	RAMSAY CLINIC CAIRNS	0056100Y	253 SHERIDAN STREET	NORTH CAIRNS	4870																																												
PRIVATE	QLD	RAMSAY CLINIC CALOUNDRA	0055810Y	96 BEERBURRUM STREET	CALOUNDRA	4551																																												
PRIVATE	NSW	RAMSAY CLINIC CREMORNE	0016570K	3 HARRISON STREET	CREMORNE	2090																																												
PRIVATE	NSW	RAMSAY CLINIC MACARTHUR	0017480F	92-96 DUMARESQ STREET	CAMPBELLTOWN	2560																																												
PRIVATE	QLD	RAMSAY CLINIC NEW FARM	0055620F	22 SARGENT STREET	NEW FARM	4005																																												
PRIVATE	NSW	RAMSAY CLINIC NORTHSIDE	0016770B	2 FREDERICK STREET	ST LEONARDS	2065																																												
PRIVATE	NSW	RAMSAY CLINIC THIRROUL	0016410F	72 PHILLIP STREET	THIRROUL	2515																																												
PRIVATE	NSW	RAMSAY CLINIC WENTWORTHVILLE 	0016050L	23-27 LYTTON STREET	WENTWORTHVILLE	2145																																												
PRIVATE	SA	RAMSAY DAY CLINIC KAHLYN	0065680Y	40 BRIANT ROAD	MAGILL	5072																																												
PRIVATE	QLD	RAMSAY SURGICAL CENTRE CAIRNS	0887521H	156-160 GRAFTON STREET	CAIRNS	4870																																												
PRIVATE	NSW	RAMSAY SURGICAL CENTRE COFFS HARBOUR	0017670Y	69 ALBANY STREET	COFFS HARBOUR	2450																																												
PRIVATE	VIC	RAMSAY SURGICAL CENTRE GLENFERRIE 	0036840W	29 HILDA CRESCENT	HAWTHORN	3122																																												
PRIVATE	NSW	RAMSAY SURGICAL CENTRE MIRANDA	0027450W	"LEVEL 3, 533 KINGSWAY"	MIRANDA	2228																																												
PRIVATE	NSW	RAMSAY SURGICAL CENTRE ORANGE	0017640F	"LEVEL 3 & 4, 1521 FOREST ROAD "	ORANGE	2800																																												
PUBLIC	WA	RAVENSTHORPE HOSPITAL	0070980K	MARTIN STREET	RAVENSTHORPE	6346																																												
PUBLIC	QLD	REDCLIFFE HOSPITAL	0051110T	ANZAC AVENUE	REDCLIFFE	4020																																												
PUBLIC	QLD	REDLAND HOSPITAL	0051720K	21 WEIPPIN STREET	CLEVELAND	4163																																												
PRIVATE	NSW	REGIONAL IMAGING CARDIOVASCULAR CENTRE	0999251T	"CALVARY HOSPITAL, 36, HARDY AVENUE"	WAGGA WAGGA	2650																																												
PUBLIC	SA	RENMARK PARINGA DISTRICT HOSPITAL	0060490A	RAL RAL AVENUE	RENMARK	5341																																												
PRIVATE	SA	REPROMED DAY SURGERY	0067080H	180 FULLARTON ROAD	DULWICH	5065																																												
PRIVATE	VIC	RESERVOIR PRIVATE HOSPITAL DAY PROCEDURE CENTRE	0036460H	73-75 PINE STREET	RESERVOIR	3073																																												
PUBLIC	QLD	RICHMOND HOSPITAL	0051120L	GALLAGHER DRIVE	RICHMOND	4822																																												
PRIVATE	VIC	RINGWOOD PRIVATE HOSPITAL	0036430L	36 MOUNT DANDENONG ROAD	EAST RINGWOOD	3135																																												
PRIVATE	QLD	RIVERCITY PRIVATE HOSPITAL	0056040W	"FLOOR 2, 401 MILTON ROAD"	AUCHENFLOWER	4066																																												
PRIVATE	NSW	RIVERINA CANCER CARE CENTRE	0027060J	31 MEURANT AVENUE	WAGGA WAGGA	2650																																												
PRIVATE	NSW	RIVERINA DAY SURGERY	0027410B	2-6 MEURANT AVENUE	WAGGA WAGGA	2650																																												
PUBLIC	SA	RIVERLAND GENERAL HOSPITAL	0060080X	24 MADDERN STREET	BERRI	5343																																												
PUBLIC	SA	RIVERTON HOSPITAL	0060500T	23 MOORHOUSE TERRACE	RIVERTON	5412																																												
PUBLIC	QLD	ROBINA HOSPITAL	0051940Y	2 BAYBERRY LANE	ROBINA	4226																																												
PRIVATE	QLD	ROBINA PRIVATE HOSPITAL	0056170H	1 BAYBERRY LANE	ROBINA	4226																																												
PUBLIC	VIC	ROBINVALE DISTRICT HEALTH SERVICES - MANANGATANG CAMPUS	0030660B	37 PIONEER STREET	MANANGATANG	3546																																												
PUBLIC	VIC	ROBINVALE DISTRICT HEALTH SERVICES - ROBINVALE CAMPUS	0031000J	128-132 LATJE ROAD	ROBINVALE	3549																																												
PUBLIC	VIC	ROCHESTER AND ELMORE DISTRICT HEALTH SERVICE	0031010H	1 PASCOE STREET	ROCHESTER	3561																																												
PUBLIC	QLD	ROCKHAMPTON BASE HOSPITAL	0051130K	8 CANNING STREET 	ROCKHAMPTON	4700																																												
PRIVATE	WA	ROCKINGHAM DIALYSIS CLINIC	0077250K	LEVEL 1/35 MCNICHOLL STREET	ROCKINGHAM 	6168																																												
PUBLIC	WA	ROCKINGHAM GENERAL HOSPITAL	0071490Y	ELANORA DRIVE	COOLOONGUP	6168																																												
PRIVATE	QLD	RODERICK STREET DAY SURGERY	0999941K	23 RODERICK STREET	IPSWICH	4305																																												
PUBLIC	WA	ROEBOURNE HOSPITAL	0070710K	42-44 HAMPTON STREET	ROEBOURNE	6718																																												
PUBLIC	QLD	ROMA HOSPITAL	0051140J	197-234 MCDOWALL STREET	ROMA	4455																																												
PRIVATE	NSW	ROSEBERY DAY SURGERY	0658011A	308 GARDENERS ROAD	ROSEBERY	2018																																												
PRIVATE	VIC	ROSEBUD DAY HOSPITAL	0044170W	29-31 BONEO ROAD	ROSEBUD	3939																																												
PRIVATE	VIC	ROSEBUD ENDOSCOPY	0044160X	20 BONEO ROAD	ROSEBUD  	3939																																												
PUBLIC	VIC	ROSEBUD HOSPITAL	0030360T	1527 POINT NEPEAN ROAD	ROSEBUD	3939																																												
PRIVATE	NSW	ROSEMONT ENDOSCOPY CENTRE	0656281W	56 ROSEMONT STREET	WOLLONGONG	2500																																												
PUBLIC	SA	ROXBY DOWNS HOSPITAL	0060860L	16-28 BURGOYNE STREET	ROXBY DOWNS	5725																																												
PUBLIC	QLD	ROYAL BRISBANE & WOMENS HOSPITAL	0050180J	BUTTERFIELD STREET	HERSTON	4029																																												
PUBLIC	NT	ROYAL DARWIN HOSPITAL	0095070Y	ROCKLANDS DRIVE	TIWI	0810																																												
PUBLIC	TAS	ROYAL HOBART HOSPITAL	0080060L	48 LIVERPOOL STREET	HOBART	7000																																												
PUBLIC	NSW	ROYAL HOSPITAL FOR WOMEN	0010070L	BARKER STREET	RANDWICK	2031																																												
PUBLIC	VIC	ROYAL MELBOURNE HOSPITAL - CITY CAMPUS	0031030B	300 GRATTAN STREET	PARKVILLE	3050																																												
PUBLIC	VIC	ROYAL MELBOURNE HOSPITAL - ROYAL PARK CAMPUS	0031860J	34-54 POPLAR ROAD	PARKVILLE	3052																																												
PUBLIC	NSW	ROYAL NORTH SHORE HOSPITAL	0010310L	1 RESERVE ROAD	ST LEONARDS	2065																																												
PUBLIC	WA	ROYAL PERTH HOSPITAL	0070000X	WELLINGTON STREET	PERTH	6000																																												
PUBLIC	NSW	ROYAL PRINCE ALFRED HOSPITAL	0010320K	50 MISSENDEN ROAD	CAMPERDOWN	2050																																												
PRIVATE	NSW	ROYAL REHAB PRIVATE PETERSHAM	0015310W	275 ADDISON ROAD	PETERSHAM	2049																																												
PRIVATE	NSW	ROYAL REHAB PRIVATE RYDE	0017490B	235 MORRISON ROAD	RYDE	2112																																												
PUBLIC	NSW	ROYAL REHABILITATION HOSPITAL - COORABEL/MOORONG	0012600J	227-259 MORRISON ROAD	RYDE	2112																																												
PUBLIC	VIC	ROYAL TALBOT REHABILITATION CENTRE	0031600H	1 YARRA BOULEVARD	KEW	3101																																												
PUBLIC	VIC	RURAL NORTHWEST HEALTH - HOPETOUN CAMPUS	0035360X	12 MITCHELL PLACE	HOPETOUN	3396																																												
PUBLIC	VIC	RURAL NORTHWEST HEALTH - WARRACKNABEAL CAMPUS	0031270J	18 DIMBOOLA ROAD	WARRACKNABEAL	3393																																												
PUBLIC	NSW	RYDE HOSPITAL	0010390X	DENISTONE ROAD	EASTWOOD	2122																																												
PUBLIC	NSW	RYLSTONE DISTRICT HOSPITAL	0012010J	24 FITZGERALD STREET	RYLSTONE	2849																																												
PUBLIC	NSW	SACRED HEART HEALTH SERVICE	0010400K	170 DARLINGHURST ROAD	DARLINGHURST	2010																																												
PRIVATE	QLD	SAMFORD ROAD DAY HOSPITAL	0057230B	383-391 SAMFORD ROAD	GAYTHORNE	4051																																												
PUBLIC	VIC	SANDRINGHAM HOSPITAL	0031470A	193 BLUFF ROAD	SANDRINGHAM	3191																																												
PUBLIC	QLD	SARINA HOSPITAL	0051410B	1 HOSPITAL STREET	SARINA	4737																																												
PUBLIC	NSW	"SCOTT MEMORIAL HOSPITAL, SCONE"	0012050A	STAFFORD STREET	SCONE	2337																																												
PRIVATE	SA	SEAFORD DAY SURGERY 	0067260B	4 VISTA PARADE	SEAFORD HEIGHTS	5169																																												
PUBLIC	VIC	SEYMOUR HEALTH	0031070W	1 BRETTONEAUX STREET	SEYMOUR	3660																																												
PUBLIC	NSW	SHELLHARBOUR HOSPITAL	0010060T	15-17 MADIGAN BOULEVARDE	MOUNT WARRIGAL	2528																																												
PRIVATE	NSW	SHELLHARBOUR PRIVATE HOSPITAL	0016800L	27 CAPTAIN COOK DRIVE	BARRACK HEIGHTS	2528																																												
PRIVATE	VIC	SHEPPARTON PRIVATE HOSPITAL	0036550F	20 FITZGERALD STREET	SHEPPARTON	3630																																												
PUBLIC	NSW	SHOALHAVEN DISTRICT MEMORIAL HOSPITAL	0012060Y	2 SHOALHAVEN STREET	NOWRA	2541																																												
PRIVATE	QLD	SHORT STREET DAY SURGERY	0057010T	2 SHORT STREET	SOUTHPORT	4215																																												
PRIVATE	NSW	SIGHT FOUNDATION THEATRE	0027240F	"SYDNEY EYE HOSPITAL, LEVEL 3 CLINICAL BUILDING, 8 MACQUARIE STREET"	SYDNEY	2000																																												
PUBLIC	NSW	SINGLETON DISTRICT HOSPITAL	0012070X	LOT 20 DANGAR ROAD	SINGLETON	2330																																												
PUBLIC	WA	SIR CHARLES GAIRDNER HOSPITAL	0070990J	HOSPITAL AVENUE	NEDLANDS	6009																																												
PRIVATE	VIC	SIR JOHN MONASH PRIVATE HOSPITAL	0036730A	"1ST FLOOR, 212-220 CLAYTON ROAD"	CLAYTON	3168																																												
PRIVATE	VIC	SKIN CANCER DAY SURGERY	0036870K	19 CLEVELAND ROAD	ASHWOOD	3147																																												
PRIVATE	VIC	SKIN HEALTH INSTITUTE	0044050B	"LEVEL 1, 80 DRUMMOND STREET"	CARLTON	3053																																												
PRIVATE	WA	SLEEPMED HEALTHCARE	0077200Y	78 FARRINGTON ROAD	LEEMING	6149																																												
PRIVATE	NSW	SMITHFIELD ENDOSCOPY CENTRE	0027670F	888 THE HORSLEY DRIVE	SMITHFIELD	2164																																												
PUBLIC	TAS	SMITHTON DISTRICT HOSPITAL	0080200W	74 BRITTONS ROAD	SMITHTON	7330																																												
PUBLIC	SA	SNOWTOWN HOSPITAL	0060510L	8 SOUTH TERRACE	SNOWTOWN	5520																																												
PRIVATE	ACT	SOLE VITA SURGERY	0097010W	7 PHIPPS CLOSE	DEAKIN	2600																																												
PRIVATE	NSW	SOMERSET PRIVATE HOSPITAL	0017660A	"LEVEL 1, 38 SOMERSET STREET"	KINGSWOOD	2747																																												
PRIVATE	QLD	SOUTH BRISBANE DAY HOSPITAL	0057410Y	87 IPSWICH ROAD	WOOLLOONGABBA	4102																																												
PRIVATE	QLD	SOUTH COAST DIGESTIVE DISEASES CENTRE	0057210H	86 ASHMORE ROAD	BUNDALL	4217																																												
PUBLIC	SA	SOUTH COAST DISTRICT HOSPITAL	0060550F	56-82 BAY ROAD	VICTOR HARBOR	5211																																												
PRIVATE	NSW	SOUTH COAST PRIVATE	0017460J	112 BURELLI STREET	WOLLONGONG	2500																																												
PUBLIC	NSW	SOUTH EAST REGIONAL HOSPITAL	0010670K	4 VIRGINIA DRIVE	BEGA	2550																																												
PRIVATE	VIC	SOUTH EASTERN PRIVATE HOSPITAL	0036280K	CNR PRINCES HIGHWAY & HEATHERTON ROAD	NOBLE PARK	3174																																												
PUBLIC	VIC	SOUTH GIPPSLAND HOSPITAL	0031090L	87 STATION ROAD	FOSTER	3960																																												
PRIVATE	NSW	SOUTH PACIFIC PRIVATE HOSPITAL	0015930K	24 BEACH STREET	CURL CURL	2096																																												
PRIVATE	WA	SOUTH PERTH HOSPITAL	0075260B	76 SOUTH TERRACE	SOUTH PERTH	6151																																												
PUBLIC	VIC	SOUTH WEST HEALTHCARE - CAMPERDOWN	0030180X	9 ROBINSON STREET	CAMPERDOWN	3260																																												
PUBLIC	VIC	SOUTH WEST HEALTHCARE - WARRNAMBOOL CAMPUS	0031280H	RYOT STREET	WARRNAMBOOL	3280																																												
PRIVATE	NSW	SOUTH WESTERN ENDOSCOPY CENTRE	0889011L	20-22 BIGGE STREET	LIVERPOOL	2170																																												
PRIVATE	VIC	SOUTH YARRA DAY SURGERY	0044250W	"LEVEL 11, 9 YARRA ST"	SOUTH YARRA	3141																																												
PRIVATE	WA	SOUTHBANK DAY SURGERY	0075510A	38 MEADOWVALE AVENUE	SOUTH PERTH	6151																																												
PUBLIC	WA	SOUTHERN CROSS HOSPITAL	0070720J	COOLGARDIE ROAD (GREAT EASTERN HIGHWAY)	SOUTHERN CROSS	6426																																												
PRIVATE	SA	SOUTHERN ENDOSCOPY CENTRE	0067200T	271 BRIGHTON ROAD	SOMERTON PARK	5144																																												
PRIVATE	VIC	SOUTHERN EYE CENTRE DAY SURGERY	0925661J	44 CRANBOURNE ROAD	FRANKSTON	3199																																												
PRIVATE	NSW	SOUTHERN HIGHLANDS PRIVATE HOSPITAL	0017130F	93-95 BOWRAL STREET	BOWRAL	2576																																												
PRIVATE	NSW	SOUTHERN SUBURBS DAY PROCEDURE CENTRE	0026940H	47 REGENT STREET	KOGARAH	2217																																												
PUBLIC	SA	SOUTHERN YORKE PENINSULA HEALTH SERVICES	0060590X	19 WATERLOO BAY ROAD	YORKETOWN	5576																																												
PRIVATE	QLD	SOUTHPORT DAY HOSPITAL	0057370L	98A MARINE PARADE	SOUTHPORT	4215																																												
PRIVATE	NSW	SOUTHSIDE CANCER CARE CENTRE	0027420A	"LEVEL 3, 531-533 THE KINGSWAY"	MIRANDA	2228																																												
PRIVATE	QLD	SOUTHSIDE ENDOSCOPY CENTRE	0999411T	66 BRYANTS ROAD	LOGANHOLME	4129																																												
PRIVATE 	QLD	SOUTHSIDE PROCEDURE CENTRE	0057540K	"SUITE 33, LEVEL 2, 245 McCULLOUGH STREET "	SUNNYBANK	4109																																												
PRIVATE	WA	SPEARWOOD HAEMODIALYSIS UNIT	0075670H	2-6 LANCASTER STREET	SPEARWOOD	6163																																												
PRIVATE	TAS	SPECIALIST CARE AUSTRALIA - CAMPBELL TOWN	0085270H	101 HIGH STREET	CAMPBELL TOWN	7210																																												
PRIVATE	TAS	SPECIALIST CARE AUSTRALIA LAUNCESTON	0087050B	129 WELLINGTON STREET	LAUNCESTON	7250																																												
PRIVATE	TAS	SPECIALIST CARE AUSTRALIA ULVERSTONE	0085250K	35A QUEEN ST 	ULVERSTONE	7315																																												
PRIVATE	VIC	SPECIALIST SURGICENTRE DOCKLANDS	0043770A	"TENANCY 2, 22 RAKAIA WAY"	DOCKLANDS	3008																																												
PRIVATE	VIC	SPECIALIST SURGICENTRE GEELONG	0043840B	200 MALOP STREET	GEELONG	3220																																												
PRIVATE	QLD	SPENDELOVE PRIVATE HOSPITAL	0055990A	24 SPENDELOVE AVENUE	SOUTHPORT	4215																																												
PRIVATE	QLD	SPRING HILL SPECIALIST DAY HOSPITAL	0656641J	"1ST AND 4TH FLOOR, ST ANDREWS PLACE, NORTH STREET"	SPRING HILL	4000																																												
PUBLIC	QLD	SPRINGSURE HOSPITAL	0051190Y	21 WOODBINE STREET	SPRINGSURE	4722																																												
PRIVATE	VIC	SPRINGVALE ENDOSCOPY CENTRE AND DAY HOSPITAL	0894531L	20 BALMORAL AVENUE	SPRINGVALE	3171																																												
PRIVATE 	QLD	SPRINGWOOD DAY SURGERY 	0057620K	52 CINDERELLA DRIVE 	SPRINGWOOD	4127																																												
PUBLIC	NSW	SPRINGWOOD HOSPITAL	0012730Y	7 HUNTLEY GRANGE ROAD	SPRINGWOOD	2777																																												
PRIVATE	VIC	ST ALBANS ENDOSCOPY CENTRE	0043520X	328-330 STATION ROAD	ST ALBANS	3021																																												
PRIVATE	SA	ST ANDREW'S HOSPITAL INC	0065310B	350 SOUTH TERRACE & 321 SOUTH TERRACE 	ADELAIDE	5000																																												
PRIVATE	QLD	ST ANDREW'S IPSWICH PRIVATE HOSPITAL	0055420L	CNR RODERICK AND PRING STREET	IPSWICH	4305																																												
PRIVATE	QLD	ST ANDREW'S TOOWOOMBA HOSPITAL	0055530H	280 NORTH STREET	TOOWOOMBA	4350																																												
PRIVATE	QLD	ST ANDREW'S WAR MEMORIAL HOSPITAL	0055130A	457 WICKHAM TERRACE	BRISBANE	4000																																												
PUBLIC	NSW	ST GEORGE HOSPITAL	0010410J	30 GRAY STREET	KOGARAH	2217																																												
PUBLIC	QLD	ST GEORGE HOSPITAL (QLD)	0051160F	VICTORIA STREET	ST GEORGE	4487																																												
PRIVATE	NSW	ST GEORGE PRIVATE HOSPITAL	0017090X	1 SOUTH STREET	KOGARAH	2217																																												
PUBLIC	VIC	ST GEORGE'S HEALTH SERVICE	0031130Y	283 COTHAM ROAD	KEW	3101																																												
PUBLIC	TAS	ST HELENS DISTRICT HOSPITAL	0080440A	CIRCASSION STREET	ST HELENS	7216																																												
PRIVATE	VIC	ST JOHN OF GOD BALLARAT HOSPITAL	0035800K	101 DRUMMOND STREET NORTH	BALLARAT	3350																																												
